证券代码,交易日期,相对报价价差（等权平均）,相对有效价差（等权平均）,相对报价价差（时间加权平均）,相对有效价差（时间加权平均）,相对报价价差（成交量加权平均）,相对有效价差（成交量加权平均）,相对报价价差（成交金额加权平均）,相对有效价差（成交金额加权平均）,有效数据条数,
300420,2019/1/2,0.217055,0.20484,0.218326,0.202338,0.229935,0.205551,0.229934,0.205557,1223,
300421,2019/1/2,0.177965,0.15639,0.256429,0.200215,0.227695,0.202729,0.227705,0.20269,612,
300422,2019/1/2,0.119884,0.119867,0.123911,0.124024,0.130873,0.139865,0.130941,0.139982,1585,
300423,2019/1/2,0.102553,0.103653,0.106612,0.106182,0.111195,0.115651,0.111395,0.115908,1716,
300424,2019/1/2,0.199056,0.189618,0.230015,0.21586,0.22357,0.216485,0.223565,0.21652,1364,
300425,2019/1/2,0.248813,0.239922,0.252909,0.245668,0.254137,0.252668,0.254125,0.252648,353,
300426,2019/1/2,0.191345,0.166151,0.21074,0.178727,0.213605,0.177269,0.213708,0.177292,761,
300427,2019/1/2,0.160645,0.150958,0.183195,0.169889,0.171009,0.181818,0.171121,0.181989,1211,
300428,2019/1/2,0.135012,0.134478,0.140685,0.136428,0.165647,0.16662,0.166094,0.167323,1497,
300429,2019/1/2,0.156679,0.156355,0.159025,0.154214,0.219053,0.236894,0.219581,0.23738,999,
300430,2019/1/2,0.208087,0.197955,0.266318,0.251109,0.260036,0.247527,0.260326,0.247817,319,
300431,2019/1/2,0.141194,0.140905,0.147895,0.144451,0.174711,0.177935,0.174681,0.177897,1621,
300432,2019/1/2,0.195938,0.18473,0.201306,0.185299,0.215745,0.202645,0.215784,0.20267,862,
300433,2019/1/2,0.160258,0.160745,0.160523,0.160452,0.166954,0.167773,0.16696,0.167763,3175,
300434,2019/1/2,0.20696,0.196101,0.197891,0.174784,0.222871,0.22648,0.222588,0.226142,976,
300435,2019/1/2,0.259968,0.225755,0.27422,0.224878,0.370881,0.331266,0.369307,0.330191,581,
300436,2019/1/2,0.138412,0.132178,0.158245,0.148499,0.145866,0.160691,0.145985,0.161039,330,
300437,2019/1/2,0.137925,0.130604,0.143078,0.130509,0.180197,0.168651,0.180403,0.168895,658,
300438,2019/1/2,0.097226,0.095482,0.116717,0.113476,0.108971,0.112808,0.108937,0.112693,1189,
300439,2019/1/2,0.167777,0.144934,0.202374,0.175486,0.18189,0.145532,0.181986,0.145515,597,
300440,2019/1/2,0.216761,0.207204,0.230811,0.207447,0.238798,0.243112,0.238929,0.24321,476,
300441,2019/1/2,0.195418,0.184793,0.205367,0.183884,0.234201,0.226699,0.233875,0.226351,612,
300442,2019/1/2,0.276582,0.255036,0.324481,0.27762,0.264251,0.245045,0.264349,0.245068,359,
300443,2019/1/2,0.226067,0.227659,0.227585,0.224083,0.336561,0.35357,0.333294,0.349835,1829,
300444,2019/1/2,0.18485,0.184832,0.184655,0.178177,0.230408,0.249932,0.230706,0.250312,870,
